Report Date,Crime Category,count
2009-05-04,Larceny-From Vehicle,36
2009-05-04,Larceny-Non Vehicle,18
2009-05-04,Robbery,6
2009-05-05,Agg Assault,8
2009-05-05,Auto Theft,14
2009-05-05,Burglary,27
2009-05-05,Larceny-From Vehicle,35
2009-05-05,Larceny-Non Vehicle,23
2009-05-05,Robbery,10
2009-05-06,Agg Assault,9
2009-05-06,Auto Theft,24
2009-05-06,Burglary,27
2009-05-06,Homicide,1
2009-05-06,Larceny-From Vehicle,18
2009-05-06,Larceny-Non Vehicle,23
2009-05-06,Robbery,10
2009-05-07,Agg Assault,4
2009-05-07,Auto Theft,20
2009-05-07,Burglary,29
2009-05-07,Larceny-From Vehicle,31
2009-05-07,Larceny-Non Vehicle,32
2009-05-07,Robbery,6
2009-05-08,Agg Assault,12
2009-05-08,Auto Theft,16
2009-05-08,Burglary,23
2009-05-08,Larceny-From Vehicle,27
2009-05-08,Larceny-Non Vehicle,29
2009-05-08,Robbery,8
2009-05-09,Agg Assault,6
2009-05-09,Auto Theft,21
2009-05-09,Burglary,14
2009-05-09,Homicide,1
2009-05-09,Larceny-From Vehicle,29
2009-05-09,Larceny-Non Vehicle,9
2009-05-09,Robbery,3
2009-05-10,Agg Assault,13
2009-05-10,Auto Theft,23
2009-05-10,Burglary,25
2009-05-10,Homicide,1
2009-05-10,Larceny-From Vehicle,31
2009-05-10,Larceny-Non Vehicle,17
2009-05-10,Robbery,13
2009-05-11,Agg Assault,2
2009-05-11,Auto Theft,10
2009-05-11,Burglary,38
2009-05-11,Homicide,1
2009-05-11,Larceny-From Vehicle,37
2009-05-11,Larceny-Non Vehicle,14
2009-05-11,Robbery,7
